|aBuchanan's journal of man
|aVirginia medical And surgical journal
|aLouisville medical journal
|aThe dental register
|aMedical and surgical report of the Boston City Hospital |aBoston City Hospital
|aThe western lancet
|aThe Philadelphia medical museum
|aThe eclectic medical advocate
|aReport of the Board of Health of the city and port of Philadelphia to the Mayor for the year .
|aRevue médico-chirurgicale de Paris. :|b(Journal de médecine et Journal de chirurgicale réunies.)
|aCanada medical journal and monthly record of medical and surgical science
|aDirectory of medical specialists
|aNew York eclectic medical and surgical journal
|aBulletins et memoires de la Societe de Therapeutique
|aAnnual report - Cincinnati General Hospital |aCincinnati General Hospital
|aRevue ophthalmologique de la littérature médicale des annee .
|aThe Cincinnati lancet and clinic
|aPhysio-medical recorder
|aThe New Orleans medical and surgical journal
"|aThe medical and surgical reporter |aMedical and surgical reporter (Philadelphia, Pa. : 1858)"
|aAmerican homeopathic journal of gynaecology and obstetrics
|aTransactions of the Obstetrical Society of London |aObstetrical Society of London
|aAnnual report of the State Board of Health of the State of Wisconsin for the year ending . |aWisconsin.|bState Board of Health
"|aMedical communications of the Massachusetts Medical Society |aMedical communications of the Massachusetts Medical Society (Boston, Mass. : 1836)"
|aAerztlicher Bericht des k. k. allgemeinen Krankenhauses zu Wien |aK.K. Allgemeines Krankenhaus zu Wien
|aSchweizer Archiv für Neurologie und Psychiatrie =|bArchives Suisses de neurologie et de psychiatrie
|aThe medical advocate
|aKansas city medical journal
|aThe Phrenological journal and life illustrated
|aDetroit review of medicine and pharmacy
"|aThe Dublin quarterly journal of medical science :|bconsisting of original communications, reviews, retrospects, and reports, including the latest discoveries in medicine, surgery, and the collateral sciences"
|aTransylvania medical journal
|aThe North-western medical and surgical journal
|aThe Georgia medical companion
|aThe western journal of the medical and physical sciences
|aBulletin de statistique municipale |aSeine (France).|bPréfecture
|aJournal of public health and monthly record of sanitary improvement|h[microform]
|aJournal of public health and sanitary review
|aWho's who in the Midwest
|aThe Ohio medical and surgical reporter
|aThe physician's monitor for ..
|aThe Western lancet
|aAmerican magazine :|bdevoted to homoeopathy and hydropathy
|aThe Atlanta medical and surgical journal
"|aTimeline :|ba publication of the Ohio Historical Society |aTimeline (Columbus, Ohio)"
|aMinutes of the General Council of Medical Education and Registration of the United Kingdom
|aInternational medical magazine
|aWood's quarterly retrospect of American and foreign practical medicine and surgery
|aThe Detroit medical journal |aDetroit medical journal (1877)
|aNew-York medical and physical journal
|aThe New bookbinder :|bjournal of Designer Bookbinders
|aLondon and Edinburgh monthly journal of medical science
|aNew York journal of medicine and surgery
|aWestern medical gazette
|aThe Book & Paper Group annual
|aDirectory of medical specialists certified by American boards
|aClassified list of publications of the Carnegie Institution of Washington |aCarnegie Institution of Washington
|aMémoires couronnés et autres mémoires |aAcadémie royale de médecine de Belgique
|aWeekly report |aCincinnati (Ohio).|bBoard of Health
|aThe Dublin journal of medical and chemical science
|aAnnals of medical history
"|aThe Ohio medical journal |aOhio medical journal (Cincinnati, Ohio : 1892)"
|aThe Louisville medical news
|aThe New-York monthly chronicle of medicine and surgery
|aTransactions of the ... session of the American Institute of Homœopathy |aAmerican Institute of Homeopathy.|bSession
|aNorth American journal of homoeopathy
|aMichigan medical news
|aAnnual report |aKentucky. State Board of Health
|aNew Orleans medical news and hospital gazette
"|aMortality statistics |aMortality statistics (Washington, D.C. : 1906)"
|aArbeiten aus dem Neurologischen Institut (Osterr. interakademisches zentralinstitut für Hinforschung) an der Wiener Universität |aUniversität Wien.|bNeurologisches Institute
"|aBericht des K.K. Krankenhauses Wieden :|bvom Solar-Jahre |aKaiserlich-Königliches Krankenhaus (Wieden, Wien)"
|aTransactions of the Southern Surgical and Gynecological Association |aSouthern Surgical and Gynecological Association (U.S.)
|aThe American vegetarian and health journal
|aInformations et rapports - Congrès français de chirurgie |aCongrès français de chirurgie
|aTransactions of the Ohio State Dental Society |aOhio State Dental Society
|aCollege journal of medical science
"|aAnnual report |aOhio.|bCentral Ohio Lunatic Asylum, Columbus"
|aBulletins of the public health |aUnited States.|bMarine Hospital Service
|aThe Southern medical and surgical journal
|aAnnals of the Anatomical and Surgical Society
|aProceedings |aHomeopathic Medical Society of the State of Ohio
|aTransactions of the Congress of American Physicians and Surgeons |aCongress of American Physicians and Surgeons
|aUnited States journal of homeopathy
|aDrugs and medicines of North America
|aCholera gazette
|aTransactions of the annual meeting |aAssociation of American Teachers of the Diseases of Children
"|aDirectory of community services,|bincluding Hamilton & Clermont counties in Ohio & Boone, Campbell & Kenton counties in Kentucky"
|aLa Lancette française
|aTransactions of the Indiana State Medical Society
|aRoyal London Ophthalmic Hospital reports
|aChampionnière's journal of practical medicine and surgery
|aHunter's medical and surgical specialist
|aThe Cincinnati medical journal
|aAssociation medical journal
|aTransactions of the session of the Medical Society of the State of California |aCalifornia Medical Association
|aTransactions of the ... annual meeting of the Ohio State Medical Society |aOhio State Medical Society
|aMedical directory of Greater Cincinnati
|aSemi-monthly medical news
|aOhioana quarterly
|aArchiv für ohrenheilkunde
|aJournal of education and of physiological and medical reform
|aPeninsular and independent medical journal
|aArkansas medical monthly
|aThe æsculapian register
|aThe medical news and library
|aMidland medical miscellany and provincial medical journal
|aAnnual report of the Alumni Association |aPhiladelphia College of Pharmacy.|bAlumni Association
"|aMemoirs of the Medical Society of London :|binstituted in the year 1773 |aMemoirs of the Medical Society of London (London, Eng. : 1787)"
"|aAnnalen des Charité-Krankenhauses und der übrigen königlichen medicinisch-chirurgischen Lehr- und Kranken-Anstalten zu Berlin |aCharité (Hospital : Berlin, Germany)"
|aTransactions of the Minnesota State Medical Society |aMinnesota State Medical Society
|aThe Obstetrical journal of Great Britain and Ireland
|aTransactions |aMaine Medical Association
"|aThe Cyclopedia of medicine, surgery and specialities; revision service"
"|aAmerican medical times,|bbeing a weekly series of the New York journal of medicine"
|aMedical history.|pSupplement
|aProceedings of the ... annual meeting of the Indiana State Medical Society |aIndiana State Medical Society
|aNational Board of Health bulletin |aNational Board of Health (U.S.)
|aAnnual report of the Supervising Surgeon General of the Marine Hospital Service of the United States for the fiscal year . |aUnited States.|bMarine Hospital Service
"|aAnnual report of the Secretary of the State Board of Health of the State of Michigan, for the fiscal year ending . |aMichigan.|bState Board of Health"
|aThe American medical intelligencer :|ba concentrated record of medical science and literature
|aBulletins et mémoires |aSociété de Chirurgie de Paris
|aThe Chicago medical journal
|aTransactions |aState Medical Society of Arkansas
"|aThe New Jersey medical reporter, and transactions of the New Jersey Medical Society"
|aZeitschrift der K.K. gesellschaft der aerzte zu Wien
|aMedical communications and dissertations of the Massachusetts Medical Society
|aCholera-archiv mit benutzung amtlicher quellen
"|aNew Orleans medical and surgical journal |aNew Orleans medical and surgical journal (New Orleans, La. : 1873)"
|aThe Philadelphia monthly journal of medicine and surgery
|aTransactions of the American Dermatological Association at the ... meeting held at . |aAmerican Dermatological Association.|bMeeting
"|aThe Medical herald |aMedical herald (Leavenworth, Kan.)"
|aMedical facts and observations
|aThe Philadelphia medical journal
|aThe Kansas City medical index-lancet
|aThe physiologico-medical recorder and surgical journal
|aThe American medical review and journal of original and selected papers in medicine and surgery
|aCincinnati medicine digest
